Title,Rating,Author,Author Gender,Publication Date,Page Count,Statues,Genre,Sub-Genre,Synopsis
The Green Bone Saga,4.4,Fonda Lee,Female,2018,635,Series,Sci-Fi,Romance,"Jade is the lifeblood of the island of Kekon. It has been mined, traded, stolen, and killed for -- and for centuries, honorable Green Bone warriors like the Kaul family have used it to enhance their magical abilities and defend the island from foreign invasion.

Now, the war is over and a new generation of Kauls vies for control of Kekon's bustling capital city. They care about nothing but protecting their own, cornering the jade market, and defending the districts under their protection. Ancient tradition has little place in this rapidly changing nation.

When a powerful new drug emerges that lets anyone -- even foreigners -- wield jade, the simmering tension between the Kauls and the rival Ayt family erupts into open violence. The outcome of this clan war will determine the fate of all Green Bones -- and of Kekon itself."
Rivers of London,4.3,Ben Aaronovitch ,Male,2011,384,Stand Alone,Fantasy,No Sub-Genre,"My name is Peter Grant and until January I was just probationary constable in that mighty army for justice known to all right-thinking people as the Metropolitan Police Service (and as the Filth to everybody else). My only concerns in life were how to avoid a transfer to the Case Progression Unit - we do paperwork so real coppers don't have to - and finding a way to climb into the panties of the outrageously perky WPC Leslie May. Then one night, in pursuance of a murder inquiry, I tried to take a witness statement from someone who was dead but disturbingly voluable, and that brought me to the attention of Inspector Nightingale, the last wizard in England. Now I'm a Detective Constable and a trainee wizard, the first apprentice in fifty years, and my world has become somewhat more complicated: nests of vampires in Purley, negotiating a truce between the warring god and goddess of the Thames, and digging up graves in Covent Garden ...and there's something festering at the heart of the city I love, a malicious vengeful spirit that takes ordinary Londoners and twists them into grotesque mannequins to act out its drama of violence and despair. The spirit of riot and rebellion has awakened in the city, and it's falling to me to bring order out of chaos - or die trying."
Maybe Someday,4.5,Colleen Hoover,Female,2014,315,Series,Romance,Y/A Novel,"At twenty-two years old, Sydney is enjoying a great life: She’s in college, working a steady job, in love with her wonderful boyfriend, Hunter, and rooming with her best friend, Tori. But everything changes when she discovers that Hunter is cheating on her—and she’s forced to decide what her next move should be.

Soon, Sydney finds herself captivated by her mysterious and attractive neighbor, Ridge. She can't take her eyes off him or stop listening to the passionate way he plays his guitar every evening out on his balcony. And there’s something about Sydney that Ridge can’t ignore, either. They soon find themselves needing each other in more ways than one."
People We Meet on Vacation,4.3,Emily Henry,Female,2021,400,Stand Alone,Romance ,Y/A Novel,"Two best friends. Ten summer trips. One last chance to fall in love. Poppy and Alex. Alex and Poppy. They have nothing in common. She’s a wild child; he wears khakis. She has insatiable wanderlust; he prefers to stay home with a book. And somehow, ever since a fateful car share home from college many years ago, they are the very best of friends. For most of the year they live far apart—she’s in New York City, and he’s in their small hometown—but every summer, for a decade, they have taken one glorious week of vacation together. Until two years ago, when they ruined everything. They haven't spoken since. Poppy has everything she should want, but she’s stuck in a rut. When someone asks when she was last truly happy, she knows, without a doubt, it was on that ill-fated, final trip with Alex. And so, she decides to convince her best friend to take one more vacation together—lay everything on the table, make it all right. Miraculously, he agrees. Now she has a week to fix everything. If only she can get around the one big truth that has always stood quietly in the middle of their seemingly perfect relationship. What could possibly go wrong?"
Book Lovers ,4.5,Emily Henry,Female,2022,416,Stand Alone,Romance,Y/A Novel,"One summer. Two rivals. A plot twist they didn't see coming...

Nora Stephens' life is books—she’s read them all—and she is not that type of heroine. Not the plucky one, not the laidback dream girl, and especially not the sweetheart. In fact, the only people Nora is a heroine for are her clients, for whom she lands enormous deals as a cutthroat literary agent, and her beloved little sister Libby.

Which is why she agrees to go to Sunshine Falls, North Carolina for the month of August when Libby begs her for a sisters’ trip away—with visions of a small town transformation for Nora, who she’s convinced needs to become the heroine in her own story. But instead of picnics in meadows, or run-ins with a handsome country doctor or bulging-forearmed bartender, Nora keeps bumping into Charlie Lastra, a bookish brooding editor from back in the city. It would be a meet-cute if not for the fact that they’ve met many times and it’s never been cute.

If Nora knows she’s not an ideal heroine, Charlie knows he’s nobody’s hero, but as they are thrown together again and again—in a series of coincidences no editor worth their salt would allow—what they discover might just unravel the carefully crafted stories they’ve written about themselves."
The Book Lover,4.5,Maryann McFadden,Female,2012,369,Stand Alone,Romance,Realistic Fiction,"In The Book Lover, a charming bookshop in the village of Warwick, the best stories may not be in the pages of its books, but in the lives of the people who walk through its doors.
Owner Ruth Hardaway has been handselling books in her store, The Book Lover, for years. Her gift isn’t just finding the right books for her quirky cast of patrons, it’s also helping them to navigate the unexpected chapters in their own lives. When author Lucy Barrett lands on her doorstep for a book signing, only to collapse in a meltdown, Ruth is about to become a heroine in a story she never could have imagined. As for Lucy, who’s left a terrible betrayal behind, she’s about to encounter a plot twist she couldn’t have written when Ruth’s son, a disabled vet who rescues injured raptors, causes her to question everything she thought she wanted."
Never Never,4,Colleen Hoover,Female,2023,416,Stand Alone,Romance,Realistic Fiction,"Charlie Wynwood and Silas Nash have been best friends since they could walk. They've been in love since the age of fourteen. But as of this morning...they are complete strangers. Their first kiss, their first fight, the moment they fell in love...every memory has vanished. Now Charlie and Silas must work together to uncover the truth about what happened to them and why.

But the more they learn about the couple they used to be...the more they question why they were ever together to begin with. Forgetting is terrifying, but remembering may be worse."
Red Queen,4.5,Victoria Aveyard,Female,2016,528,Series,Fantasy,Dystopian,"Mare Barrow's world is divided by blood—those with common, Red blood serve the Silver-blooded elite, who are gifted with superhuman abilities. Mare is a Red, scraping by as a thief in a poor, rural village, until a twist of fate throws her in front of the Silver court. Before the king, princes, and all the nobles, she discovers she has an ability of her own.

To cover up this impossibility, the king forces her to play the role of a lost Silver princess and betroths her to one of his own sons. As Mare is drawn further into the Silver world, she risks everything and uses her new position to help the Scarlet Guard—a growing Red rebellion—even as her heart tugs her in an impossible direction.

One wrong move can lead to her death, but in the dangerous game she plays, the only certainty is betrayal."
Flesh and False Gods,4.7,Chloe Gong,Female,2023,384,Series,Romance,Dystopian,"Every year, thousands in the kingdom of Talin will flock to its capital twin cities, San-Er, where the palace hosts a set of games. For those confident enough in their ability to jump between bodies, competitors across San-Er fight to the death to win unimaginable riches.

Princess Calla Tuoleimi lurks in hiding. Five years ago, a massacre killed her parents and left the palace of Er empty…and she was the one who did it. Before King Kasa’s forces in San can catch her, she plans to finish the job and bring down the monarchy. Her reclusive uncle always greets the victor of the games, so if she wins, she gets her opportunity at last to kill him.

Enter Anton Makusa, an exiled aristocrat. His childhood love has lain in a coma since they were both ousted from the palace, and he’s deep in debt trying to keep her alive. Thankfully, he’s one of the best jumpers in the kingdom, flitting from body to body at will. His last chance at saving her is entering the games and winning.

Calla finds both an unexpected alliance with Anton and help from King Kasa’s adopted son, August, who wants to mend Talin’s ills. But the three of them have very different goals, even as Calla and Anton’s partnership spirals into something all-consuming. Before the games close, Calla must decide what she’s playing for—her lover or her kingdom."
The Book Thief,4.6,Markus Zusak,Male,2011,608,Stand Alone,Historical Fiction,Dystopian,"When Death has a story to tell, you listen.

It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will become busier still.

Liesel Meminger is a foster girl living outside of Munich, who scratches out a meager existence for herself by stealing when she encounters something she can’t resist–books. With the help of her accordion-playing foster father, she learns to read and shares her stolen books with her neighbors during bombing raids as well as with the Jewish man hidden in her basement. 

In superbly crafted writing that burns with intensity, award-winning author Markus Zusak, author of I Am the Messenger, has given us one of the most enduring stories of our time."
The Bookseller At The End of The World,4.5,Ruth Shaw,Male,2023,320,Stand Alone,NonFiction,Non-Fiction,"Ruth Shaw weaves together stories of the characters who visit her bookshops, musings about favorite books, and bittersweet stories from her full and varied life.

She's sailed through the Pacific for years, been held up by pirates, worked at Sydney's Kings Cross with drug addicts and prostitutes, campaigned on numerous environmental issues, and worked the yacht Breaksea Girl with her husband, Lance.

Underlining all her wanderings and adventures are some very deep losses and long-held pain. Balancing that out is her beautiful love story with Lance, and her delightful sense of humor.

This will make you weep and make you laugh and make you want to read more books - and make you want to visit Ruth and her two wee bookshops."
The Maple Hills,4.5,Hannah Grace,Female,2023,448,Series,Romance,Realistic Fiction,"Anastasia Allen has worked her entire life for a shot at Team USA. It looks like everything is going according to plan when she gets a full scholarship to the University of California, Maple Hills and lands a place on their competitive figure skating team.

Nothing will stand in her way, not even the captain of the hockey team, Nate Hawkins.

Nate’s focus as team captain is on keeping his team on the ice. Which is tricky when a facilities mishap means they are forced to share a rink with the figure skating team—including Anastasia, who clearly can’t stand him.

But when Anastasia’s skating partner faces an uncertain future, she may have to look to Nate to take her shot.

Sparks fly, but Anastasia isn’t worried…because she could never like a hockey player, right?"
The Way I Used Be,4.6,Amber Smith,Female,2017,384,Stand Alone,Romance,Realistic Fiction,"Eden was always good at being good. Starting high school didn’t change who she was. But the night her brother’s best friend rapes her, Eden’s world capsizes.

What was once simple, is now complex. What Eden once loved—who she once loved—she now hates. What she thought she knew to be true, is now lies. Nothing makes sense anymore, and she knows she’s supposed to tell someone what happened but she can’t. So she buries it instead. And she buries the way she used to be.

Told in four parts—freshman, sophomore, junior, and senior year—this provocative debut reveals the deep cuts of trauma. But it also demonstrates one young woman’s strength as she navigates the disappointment and unbearable pains of adolescence, of first love and first heartbreak, of friendships broken and rebuilt, all while learning to embrace the power of survival she never knew she had hidden within her heart."
The MurderBot Dairies,4.4,Martha Wells,Female,2017,206,Series,Sci-Fi,Adventure,"""As a heartless killing machine, I was a complete failure.""

In a corporate-dominated spacefaring future, planetary missions must be approved and supplied by the Company. Exploratory teams are accompanied by Company-supplied security androids, for their own safety.

But in a society where contracts are awarded to the lowest bidder, safety isn’t a primary concern.

On a distant planet, a team of scientists are conducting surface tests, shadowed by their Company-supplied ‘droid―a self-aware SecUnit that has hacked its own governor module, and refers to itself (though never out loud) as “Murderbot.” Scornful of humans, all it really wants is to be left alone long enough to figure out who it is.

But when a neighboring mission goes dark, it's up to the scientists and their Murderbot to get to the truth."
The Maltese Falcon,4.3,Dashiell Hammett,Male,1992,217,Stand Alone,Mystery,No Sub-Genre,"A treasure worth killing for. Sam Spade, a slightly shopworn private eye with his own solitary code of ethics. A perfumed grafter named Joel Cairo, a fat man name Gutman, and Brigid O’Shaughnessy, a beautiful and treacherous woman whose loyalties shift at the drop of a dime. These are the ingredients of Dashiell Hammett's iconic, influential, and beloved The Maltese Falcon."
We Have Always Lived in The Castle,4.2,Shirley Jackson,Female,1991,146,Stand Alone,Realistic Fiction,No Sub-Genre,"Merricat Blackwood lives on the family estate with her sister Constance and her uncle Julian. Not long ago there were seven Blackwoods—until a fatal dose of arsenic found its way into the sugar bowl one terrible night. Acquitted of the murders, Constance has returned home, where Merricat protects her from the curiousity and hostility of the villagers. Their days pass in happy isolation until cousin Charles appears. Only Merricat can see the danger, and she must act swiftly to keep Constance from his grasp."
The Buried Gaint,4,Kazuo Ishiguro,Male,2016,336,Stand Alone,Realistic Fiction,Philosophical,"In post-Arthurian Britain, the wars that once raged between the Saxons and the Britons have finally ceased. Axl and Beatrice, an elderly British couple, set off to visit their son, whom they haven't seen in years. And, because a strange mist has caused mass amnesia throughout the land, they can scarcely remember anything about him. As they are joined on their journey by a Saxon warrior, his orphan charge, and an illustrious knight, Axl and Beatrice slowly begin to remember the dark and troubled past they all share."
Until The End of Time,4.4,Briane Greene,Male,2021,446,Stand Alone,Philosophical,Sci-Fi,"Until the End of Time is Brian Greene's breathtaking new exploration of the cosmos and our quest to find meaning in the face of this vast expanse. Greene takes us on a journey from the big bang to the end of time, exploring how lasting structures formed, how life and mind emerged, and how we grapple with our existence through narrative, myth, religion, creative expression, science, the quest for truth, and a deep longing for the eternal. From particles to planets, consciousness to creativity, matter to meaning—Brian Greene allows us all to grasp and appreciate our fleeting but utterly exquisite moment in the cosmos."
A Tale of Two Cities,4.5,Charles Dickens,Male,1859,243,Stand Alone,Historical Fiction,Dystopian,"After eighteen years as a political prisoner in the Bastille, the ageing Doctor Manette is finally released and reunited with his daughter in England. There the lives of two very different men, Charles Darnay, an exiled French aristocrat, and Sydney Carton, a disreputable but brilliant English lawyer, become enmeshed through their love for Lucie Manette. From the tranquil roads of London, they are drawn against their will to the vengeful, bloodstained streets of Paris at the height of the Reign of Terror, and they soon fall under the lethal shadow of La Guillotine."
To Kill a MockingBird,4.7,Harper Lee,Male,1960,312,Series,Dystopian,Fiction,"One of the most cherished stories of all time, To Kill a Mockingbird has been translated into more than forty languages, sold more than forty million copies worldwide, served as the basis for an enormously popular motion picture, and was voted one of the best novels of the twentieth century by librarians across the country. A gripping, heart-wrenching, and wholly remarkable tale of coming-of-age in a South poisoned by virulent prejudice, it views a world of great beauty and savage inequities through the eyes of a young girl, as her father—a crusading local lawyer—risks everything to defend a black man unjustly accused of a terrible crime."
Chronicles of Narnia,4.6,C. S. Lewis,Male,1955,203,Series,Fantasy,No Sub-Genre,"On a daring quest to save a life, two friends are hurled into another world, where an evil sorceress seeks to enslave them. But then the lion Aslan's song weaves itself into the fabric of a new land, a land that will be known as Narnia. And in Narnia, all things are possible."
The Twilight Saga,4.7,Stephanie Meyer,Female,2005,579,Series,Romance,Fantasy,"Isabella Swan's move to Forks, a small, perpetually rainy town in Washington, could have been the most boring move she ever made. But once she meets the mysterious and alluring Edward Cullen, Isabella's life takes a thrilling and terrifying turn.

Up until now, Edward has managed to keep his vampire identity a secret in the small community he lives in, but now nobody is safe, especially Isabella, the person Edward holds most dear. The lovers find themselves balanced precariously on the point of a knife -- between desire and danger.

Deeply romantic and extraordinarily suspenseful, Twilight captures the struggle between defying our instincts and satisfying our desires. This is a love story with bite."
The Maze Runner,4.7,James Dashner,Male,2010,382,Series,Sci-Fi,Dystopian,"   When Thomas wakes up in the lift, the only thing he can remember is his name. He’s surrounded by strangers—boys whose memories are also gone.
   Outside the towering stone walls that surround them is a limitless, ever-changing maze. It’s the only way out—and no one’s ever made it through alive.
   Then a girl arrives. The first girl ever. And the message she delivers is terrifying: Remember. Survive. Run."
Divergent ,4.8,Veronica Roth,Female,2011,587,Series,Sci-Fi,Romance,"In the world of Divergent, society is divided into five factions – Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful) and Erudite (the intelligent). Every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. Beatrice Prior must choose between staying with her family and being who she really is. Her choice shocks everyone – including herself.

During the initiation that follows, Tris and her fellow initiates undergo extreme tests with devastating consequences. As initiation transforms them, Tris must determine who her friends really are – and whether she can trust the man who both threatens and protects her.

Because Tris has a deadly secret. And as growing conflict threatens to unravel their seemingly perfect society, this secret might save those she loves … or it might destroy her."
The Bad Beginning,4.6,Lemony Snicket,Male,1999,274,Series,Dystopian,No Sub-Genre,"Violet, Klaus, and Sunny Baudelaire are intelligent children. They are charming, and resourceful, and have pleasant facial features. Unfortunately, they are exceptionally unlucky.

In the first two books alone, the three youngsters encounter a greedy and repulsive villain, itchy clothing, a disastrous fire, a plot to steal their fortune, a lumpy bed, a deadly serpent, a large brass reading lamp, a long knife, and a terrible odor."
Sherlock Homes,4.7,Sir Arthur Conan Doyle,Male,1887,928,Series,Mystery,Science,"Since his first appearance in Beeton’s Christmas Annual in 1887, Sir Arthur Conan Doyle’s Sherlock Holmes has been one of the most beloved fictional characters ever created. Now, in two paperback volumes, Bantam presents all fifty-six short stories and four novels featuring Conan Doyle’s classic hero--a truly complete collection of Sherlock Holmes’s adventures in crime!

Volume I includes the early novel A Study in Scarlet, which introduced the eccentric genius of Sherlock Holmes to the world. This baffling murder mystery, with the cryptic word Rache written in blood, first brought Holmes together with Dr. John Watson. Next, The Sign of Four presents Holmes’s famous “seven percent solution” and the strange puzzle of Mary Morstan in the quintessential locked-room mystery.

Also included are Holmes’s feats of extraordinary detection in such famous cases as the chilling “ The Adventure of the Speckled Band,” the baffling riddle of “The Musgrave Ritual,” and the ingeniously plotted “The Five Orange Pips,” tales that bring to life a Victorian England of horse-drawn cabs, fogs, and the famous lodgings at 221B Baker Street, where Sherlock Holmes earned his undisputed reputation as the greatest fictional detective of all time."
The InHeritence Cycle,4.8,Christopher Paolini,Male,2005,726,Series,Fantasy,Fiction,"When fifteen-year-old Eragon finds a polished blue stone in the forest, he thinks it is the lucky discovery of a poor farm boy. But when the stone brings a dragon hatchling, Eragon soon realizes he has stumbled upon a legacy nearly as old as the Empire itself.

Overnight his simple life is shattered, and, gifted with only an ancient sword, a loyal dragon, and sage advice from an old storyteller, Eragon is soon swept into a dangerous tapestry of magic, glory, and power. Now his choices could save—or destroy—the Empire."
Animal Farm ,4.7,George Orwell,Male,1945,140,Stand Alone,Political Fable,Dystopian,"“All animals are equal, but some animals are more equal than others.”

A group of farm animals rebel against their drunken, abusive owner and set out to create a utopia of equality. Thus begins the brilliant, sharp satire of class struggle and revolution that rocked the twentieth century. George Orwell’s 1945 classic is an enduring, devastating story of new tyranny replacing old, and power corrupting even the noblest of causes. This stunning new edition is the perfect gift for Orwell fans and for those striving to improve our world.
Read less"
Scarlett Letter,3.8,Nathaniel Hawthorne,Male,1850,185,Stand Alone,Historical Fiction,Romance,"Hester Prynne, a young woman who has borne a child out of wedlock, is forced to wear the scarlet letter A on her dress as punishment for her sin. As both a badge of shame and a beautifully wrought human artifact, it reflects the many oppositions in the novel, such as those between order and transgression, civilization and wilderness, the town and the surrounding forest, adulthood and childhood."
A Farewell to Arms,4.3,Ernest Hemingway,Male,1929,251,Stand Alone,Realistic Fiction,No Sub-Genre,"The novel explores themes such as love, war, disillusionment, and the search for meaning in a world that has been shattered by conflict. Hemingway's spare and direct prose style captures the bleak and brutal realities of war, as well as the intense emotions and desires of the characters. ""A Farewell to Arms"" is considered one of Hemingway's most important works, and is regarded as a classic of modern literature. It has been adapted into several films, stage productions, and other forms of media. The novel continues to be widely read and studied today for its powerful portrayal of the human experience in the midst of war and its profound insights into the nature of love and loss."
For Whom the Bell Tolls,4.4,Ernest Hemingway,Male,1940,480,Stand Alone,Realistic Fiction,Philosophical,"For Whom the Bell Tolls tells of loyalty and courage, love and defeat, and the tragic death of an ideal. Robert Jordan, a young American in the International Brigades, is attached to an antifascist guerilla unit in the mountains of Spain. In his portrayal of Jordan’s love for the beautiful Maria and his superb account of a guerilla leader’s last stand, Hemingway creates a work at once rare and beautiful, strong and brutal, compassionate, moving, and wise. Greater in power, broader in scope, and more intensely emotional than any of the author’s previous works, For Whom the Bell Tolls stands as one of the best war novels ever written."
The Old Man and The Sea,4.5,Ernest Hemingway,Male,1952,128,Stand Alone,Philosophical,Realistic Fiction,"It tells the story of an aging fisherman, Santiago, who has gone 84 days without catching a fish. On the 85th day, he sets out to sea and catches a giant marlin, but his struggle to bring the fish back to shore becomes a grueling battle against the elements and against sharks who attack the marlin. The novella is set in Cuba and explores themes such as perseverance, strength, and the relationship between humans and nature. It is a meditation on the human condition and the struggle to maintain one's dignity in the face of defeat and adversity."
Moby Dick,4.4,Herman Melville,Male,1851,399,Stand Alone,Realistic Fiction,No Sub-Genre,"The book is sailor Ishmael's narrative of the obsessive quest of Ahab, captain of the whaling ship Pequod, for revenge on Moby Dick, the giant white sperm whale that on the ship's previous voyage bit off Ahab's leg at the knee.

A contribution to the literature of the American Renaissance, its reputation as a Great American Novel was established only in the 20th century, after the centennial of its author's birth.

William Faulkner said he wished he had written the book himself, and D. H. Lawrence called it one of the strangest and most wonderful books in the world and the greatest book of the sea ever written. Its opening sentence, Call me Ishmael, is among world literature's most famous."
Journey to the Centre of the Earth,4.3,Jules Verne,Male,1864,259,Stand Alone,Adventure,Sci-Fi,"First published in 1864, “Journey to the Center of the Earth” is Jules Verne’s classic tale of adventure, one of the earliest examples of science fiction. When German professor Otto Liedenbrock finds a coded message in an original runic manuscript of Snorri Sturluson’s Icelandic saga, “Heimskringla,” he discovers what he believes to be a secret passage to the center of the Earth. Professor Liedenbrock, who has long hypothesized that there are volcanic tubes which descend deep into the Earth, embarks immediately for Iceland on a journey of scientific discovery to prove his belief. Along with his reluctant nephew, Alex, and Icelandic guide Hans Bjelke, whom they have hired, the three descend into the bowels of a volcanic crater. A dangerous journey awaits them as they attempt to travel to the center of the Earth. Following a subterranean river to a vast ocean, which they traverse on a raft, they ultimately discover a world filled with prehistoric plants and animals. “Journey to the Center of the Earth” has captivated readers for generations, and remains to this day as one the most fantastical tales ever told. This edition is printed on premium acid-free paper and follows the translation of Frederic Amadeus Malleson."
A Midsummer Night's Dream,4.6,William Shakespeare,Male,1605,53,Stand Alone,Play,Realistic Fiction,"A Midsummer Night's Dream is a comedy written by William Shakespeare c. 1595 or 1596. The play is set in Athens, and consists of several subplots that revolve around the marriage of Theseus and Hippolyta. One subplot involves a conflict between four Athenian lovers."
Of Mice and Men,4.6,John Steinback,Male,1937,112,Stand Alone,Realistic Fiction,Social Realism,"They are an unlikely pair: George is ""small and quick and dark of face""; Lennie, a man of tremendous size, has the mind of a young child. Yet they have formed a ""family,"" clinging together in the face of loneliness and alienation. Laborers in California's dusty vegetable fields, they hustle work when they can, living a hand-to-mouth existence. For George and Lennie have a plan: to own an acre of land and a shack they can call their own.

When they land jobs on a ranch in the Salinas Valley, the fulfillment of their dream seems to be within their grasp. But even George cannot guard Lennie from the provocations of a flirtatious woman, nor predict the consequences of Lennie's unswerving obedience to the things George taught him. ""A thriller, a gripping tale . . . that you will not set down until it is finished. Steinbeck has touched the quick."" —The New York Times
"
Fahrenheit 451,4.6,Ray Bradbury,Male,1953,249,Stand Alone,Sci-Fi,Realistic Fiction,"Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known."
Lessons in Chemistory,4.7,Bonnie Garmus,Female,2022,400,Stand Alone,Romance,Y/A Novel,"Chemist Elizabeth Zott is not your average woman. In fact, Elizabeth Zott would be the first to point out that there is no such thing as an average woman. But it’s the early 1960s and her all-male team at Hastings Research Institute takes a very unscientific view of equality. Except for one: Calvin Evans; the lonely, brilliant, Nobel–prize nominated grudge-holder who falls in love with—of all things—her mind. True chemistry results. 

But like science, life is unpredictable. Which is why a few years later Elizabeth Zott finds herself not only a single mother, but the reluctant star of America’s most beloved cooking show Supper at Six. Elizabeth’s unusual approach to cooking (“combine one tablespoon acetic acid with a pinch of sodium chloride”) proves revolutionary. But as her following grows, not everyone is happy. Because as it turns out, Elizabeth Zott isn’t just teaching women to cook. She’s daring them to change the status quo.  

Laugh-out-loud funny, shrewdly observant, and studded with a dazzling cast of supporting characters, Lessons in Chemistry is as original and vibrant as its protagonist."
Summer Island,4.4,Kristin Hannah,Female,2004,448,Stand Alone,Family Drama,Fiction,"Years ago, Nora Bridge walked out on her marriage and left her daughters behind. She has since become a famous radio talk-show host and newspaper columnist beloved for her moral advice. Her youngest daughter, Ruby, is a struggling comedienne who uses her famous mother as fuel for her bitter, cynical humor. When the tabloids unearth a scandalous secret from Nora's past, their estrangement suddenly becomes dramatic: Nora is injured in an accident and a glossy magazine offers Ruby a fortune to write a tell-all about her mother. Under false pretenses, Ruby returns home to take care of the woman she hasn't spoken to for almost a decade.

Nora insists they retreat to Summer Island in the San Juans, to the lovely old house on the water where Ruby grew up, a place filled with childhood memories of love and joy and belonging. There Ruby is also reunited with her first love and his brother. Once, the three of them had been best friends, inseparable. Until the summer that Nora had left and everyone's hearts had been broken. . . .

What began as an expose evolves, as Ruby writes, into an exploration of her family's past. Nora is not the woman Ruby has hated all these years. Witty, wise, and vulnerable, she is desperate to reconcile with her daughter. As the magazine deadline draws near and Ruby finishes what has begun to seem to her an act of brutal betrayal, she is forced to grow up and at last to look at her mother--and herself--through the eyes of a woman. And she must, finally, allow herself to love."
The Perfect Marriage,4.3,Jeneva Rose,Female,2020,342,Stand Alone,Drama,No Sub-Genre,"Sarah Morgan is a successful and powerful defense attorney in Washington D.C. At 33 years old, she is a named partner at her firm and life is going exactly how she planned.

The same cannot be said for her husband, Adam. He is a struggling writer who has had little success in his career. He begins to tire of his and Sarah’s relationship as she is constantly working. 

Out in the secluded woods, at Adam and Sarah’s second home, Adam engages in a passionate affair with Kelly Summers.

Then, one morning everything changes. Adam is arrested for Kelly’s murder. She had been found stabbed to death in Adam and Sarah’s second home. 

Sarah soon finds herself playing the defender for her own husband, a man accused of murdering his mistress. 

But is Adam guilty or is he innocent?"
I'm Glad My Mom Died,4.7,Jennette McCurdy,Female,2022,320,Stand Alone,Humor,Memior,"Jennette McCurdy was six years old when she had her first acting audition. Her mother’s dream was for her only daughter to become a star, and Jennette would do anything to make her mother happy. So she went along with what Mom called “calorie restriction,” eating little and weighing herself five times a day. She endured extensive at-home makeovers while Mom chided, “Your eyelashes are invisible, okay? You think Dakota Fanning doesn’t tint hers?” She was even showered by Mom until age sixteen while sharing her diaries, email, and all her income.

In I’m Glad My Mom Died, Jennette recounts all this in unflinching detail—just as she chronicles what happens when the dream finally comes true. Cast in a new Nickelodeon series called iCarly, she is thrust into fame. Though Mom is ecstatic, emailing fan club moderators and getting on a first-name basis with the paparazzi (“Hi Gale!”), Jennette is riddled with anxiety, shame, and self-loathing, which manifest into eating disorders, addiction, and a series of unhealthy relationships. These issues only get worse when, soon after taking the lead in the iCarly spinoff Sam & Cat alongside Ariana Grande, her mother dies of cancer. Finally, after discovering therapy and quitting acting, Jennette embarks on recovery and decides for the first time in her life what she really wants.

Told with refreshing candor and dark humor, I’m Glad My Mom Died is an inspiring story of resilience, independence, and the joy of shampooing your own hair."
The Book of Unusual Knowlege,4.3,Publications International Ltd,Male,2012,704,Stand Alone,Humor,Educational,"Perfect for anyone with a curious mind and a passion for learning.
Includes a vast array of articles, anecdotes, lists, and games, this book will provide hours of fascinating reading.
Expand your knowledge on a range of topics, including the animal kingdom, art, sports, technology, history, politics, the universe, and much, much more!
Sample topics include: - Are plastic bags killing sacred cows in India? - Does NASCAR have roots in bootlegging moonshine? - Did Ronald Reagan see not one but two UFOs during his lifetime?"
All About Love,4.8,Bell Hooks,Female,2018,267,Series,Romance,Humor,"“The word ‘love’ is most often defined as a noun, yet we would all love better if we used it as a verb,” writes bell hooks as she comes out fighting and on fire in All About Love. Here, at her most provocative and intensely personal, renowned scholar, cultural critic and feminist bell hooks offers a proactive new ethic for a society bereft with lovelessness--not the lack of romance, but the lack of care, compassion, and unity. People are divided, she declares, by society’s failure to provide a model for learning to love. 

As bell hooks uses her incisive mind to explore the question “What is love?” her answers strike at both the mind and heart. Razing the cultural paradigm that the ideal love is infused with sex and desire, she provides a new path to love that is sacred, redemptive, and healing for individuals and for a nation. The Utne Reader declared bell hooks one of the “100 Visionaries Who Can Change Your Life.” All About Love is a powerful, timely affirmation of just how profoundly her revelations can change hearts and minds for the better. "
BEQOMING,4.6,Azrya Bequer,Female,2022,348,Stand Alone,Philosophical,Poem,"BEQOMING (noun verb): devotion to the process of becoming who you are designed to be by radically embracing your greatest challenges as curriculum and savoring the full spectrum of life

When Benjamin, a no-nonsense businessman, and Azrya, a free-spirited artist, fall madly in love, they birth a vision for a committed partnership capable of elevating humanity. But in order to become the heart-centered impact leaders they aspire to be, they must face off with the deepest unconscious fears threatening their mission and union.

A unique hybrid of personal development, spiritual memoir, and erotic nonfiction, BEQOMING is an intimate and uncensored exploration of psychedelics, sex, power, and purpose. Join Azrya and Benjamin Bequer as they navigate the light and shadow sides of their own BEQOMING and deliver potent wisdom and tangible strategies for your own activation."
